uniprot	gene	synonyms
A0AV96	RBM47	RBM47
A0AVK6	E2F8	E2F8
A0FGR8	ESYT2	ESYT2,FAM62B,KIAA1228
A0JLT2	MED19	MED19,LCMR1
A0JNW5	UHRF1BP1L	UHRF1BP1L,KIAA0701,SHIP164
A0MZ66	SHTN1	SHTN1,KIAA1598
A1A4S6	ARHGAP10	ARHGAP10,GRAF2
A1L0T0	ILVBL	ILVBL,AHAS,HACL2
A1L170	C1orf226	C1orf226
A1L390	PLEKHG3	PLEKHG3,KIAA0599
A1X283	SH3PXD2B	SH3PXD2B,FAD49,KIAA1295,TKS4
A2A2Y4	FRMD3	FRMD3,EPB41L4O
A2AJT9	BCLAF3	BCLAF3,CXorf23
A3KN83	SBNO1	SBNO1,MOP3
A5YM69	ARHGEF35	ARHGEF35,ARHGEF5L
A6ND36	FAM83G	FAM83G,PAWS1
A6NDB9	PALM3	PALM3
A6NEL2	SOWAHB	SOWAHB,ANKRD56
A6NFI3	ZNF316	ZNF316
A6NGB9	WIPF3	WIPF3,CR16
A6NIE6	RRN3P2	RRN3P2
Q9NYV6	RRN3	RRN3,TIFIA
A6NKD9	CCDC85C	CCDC85C
A6NKF1	SAC3D1	SAC3D1,SHD1
A7E2V4	ZSWIM8	ZSWIM8,KIAA0913
A7KAX9	ARHGAP32	ARHGAP32,GRIT,KIAA0712,RICS
A8CG34	POM121C	POM121C
A8MT19	RHPN2P1	RHPN2P1
Q8IUC4	RHPN2	RHPN2
C9JI98	TMEM238	TMEM238
C9JLW8	MCRIP1	MCRIP1,FAM195B,GRAN2
E7EW31	PROB1	PROB1,C5orf65
E9PAV3	NACA	NACA
Q13765	NACA	NACA,HSD48
G9CGD6	CNK3/IPCEF1	CNK3/IPCEF1
Q6P9H4	CNKSR3	CNKSR3,MAGI1
O00151	PDLIM1	PDLIM1,CLIM1,CLP36
O00159	MYO1C	MYO1C
O00161	SNAP23	SNAP23
O00178	GTPBP1	GTPBP1
O00192	ARVCF	ARVCF
O00193	SMAP	SMAP,C11orf58
O00203	AP3B1	AP3B1,ADTB3A
O00204	SULT2B1	SULT2B1,HSST2
O00221	NFKBIE	NFKBIE,IKBE
O00231	PSMD11	PSMD11
O00264	PGRMC1	PGRMC1,HPR6.6,PGRMC
O00267	SUPT5H	SUPT5H,SPT5,SPT5H
O00273	DFFA	DFFA,DFF1,DFF45,H13
O00303	EIF3F	EIF3F,EIF3S5
O00308	WWP2	WWP2
O00401	WASL	WASL
O00418	EEF2K	EEF2K
O00429	DNM1L	DNM1L,DLP1,DRP1
O00443	PIK3C2A	PIK3C2A
O00459	PIK3R2	PIK3R2
O00461	GOLIM4	GOLIM4,GIMPC,GOLPH4,GPP130
O00499	BIN1	BIN1,AMPHL
O00505	KPNA3	KPNA3,QIP2
O00512	BCL9	BCL9
O00515	LAD1	LAD1,LAD
O00559	EBAG9	EBAG9,RCAS1
O00560	SDCBP	SDCBP,MDA9,SYCL
O00567	NOP56	NOP56,NOL5A
O00571	DDX3X	DDX3X,DBX,DDX3
O00629	KPNA4	KPNA4,QIP1
O00712	NFIB	NFIB
O00750	PIK3C2B	PIK3C2B
O00767	SCD	SCD,FADS5,SCD1,SCDOS
O14493	CLDN4	CLDN4,CPER,CPETR1,WBSCR8
O14497	ARID1A	ARID1A,BAF250,BAF250A,C1orf4,OSA1,SMARCF1
O14523	C2CD2L	C2CD2L,KIAA0285,TMEM24,DLNB23
O14545	TRAFD1	TRAFD1,FLN29
O14578	CIT	CIT,CRIK,KIAA0949,STK21
O14617	AP3D1	AP3D1,PRO0039
O14639	ABLIM1	ABLIM1,ABLIM,KIAA0059,LIMAB1
O14646	CHD1	CHD1
O14647	CHD2	CHD2
O14662	STX16	STX16
O14681	EI24	EI24,PIG8
O14683	TP53I11	TP53I11,PIG11
O14686	KMT2D	KMT2D,ALR,MLL2,MLL4
O14713	ITGB1BP1	ITGB1BP1,ICAP1
O14715	RGPD8	RGPD8,RANBP2ALPHA,RANBP2L1,RANBP2L3
Q99666	RGPD5	RGPD5,RANBP2L1,RGP5,RGP7,RGPD7;,RGPD6,RANBP2L2,RGP6
O14737	PDCD5	PDCD5,TFAR19
O14745	SLC9A3R1	SLC9A3R1,NHERF,NHERF1
O14757	CHEK1	CHEK1,CHK1
